(4315, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4319, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4324, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4326, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4327, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4330, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4331, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4334, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4337, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4345, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4355, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4360, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4364, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4365, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4373, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4378, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4380, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4387, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'L')
(4391, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4393, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(4398, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
(5403, '2021:08:17:15:41:13', '2021:08:17:15:41:13', 'L')
(2515, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'R')
(2527, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'R')
(2530, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'R')
(2536, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'L')
(2541, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'L')
(2542, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'R')
(2553, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'R')
